name,adm1__id,longitude,latitude
Ashmore and Cartier Islands,1,143.9371° E,39.8753° S
Australian Capital Territory,2,149.0124° E,35.4735° S
Coral Sea Islands Territory,3,155.8561° E,19.3920° S
Jervis Bay Territory,4,150.6866° E,35.1435° S
New South Wales,5,146.9211° E,31.2532° S
Northern Territory,6,132.5510° E,19.4914° S
Queensland,7,144.0848° E,22.5752° S
South Australia,8,136.2092° E,30.0002° S
Tasmania,9,146.8087° E,42.0409° S
Victoria,10,143.3906° E,36.9848° S
Western Australia,11,115.8617° E,31.9514° S
